date,state,district,pincode,bio_age_5_17,bio_age_17_
19-09-2025,Goa,North Goa,403502,0,4
19-09-2025,Goa,North Goa,403508,1,4
19-09-2025,Goa,North Goa,403513,2,0
19-09-2025,Goa,North Goa,403527,2,2
19-09-2025,Goa,South Goa,403601,7,3
19-09-2025,Goa,South Goa,403602,2,3
19-09-2025,Goa,South Goa,403703,2,11
19-09-2025,Goa,South Goa,403705,6,4
19-09-2025,Goa,South Goa,403708,0,2
19-09-2025,Goa,South Goa,403709,1,0
19-09-2025,Goa,South Goa,403711,0,1
19-09-2025,Goa,South Goa,403714,0,1
19-09-2025,Goa,South Goa,403723,0,1
19-09-2025,Gujarat,Ahmadabad,380008,1,9
19-09-2025,Gujarat,Ahmadabad,380051,0,4
19-09-2025,Gujarat,Ahmadabad,380055,0,4
19-09-2025,Gujarat,Ahmadabad,380058,0,2
19-09-2025,Gujarat,Ahmadabad,380059,0,1
19-09-2025,Gujarat,Ahmadabad,380061,0,5
19-09-2025,Gujarat,Ahmadabad,382345,0,4
19-09-2025,Gujarat,Ahmadabad,382405,0,1
19-09-2025,Gujarat,Ahmadabad,382475,0,1
19-09-2025,Gujarat,Ahmedabad,380004,10,21
19-09-2025,Gujarat,Ahmedabad,380005,10,17
19-09-2025,Gujarat,Ahmedabad,380023,3,11
19-09-2025,Gujarat,Ahmedabad,380026,24,28
19-09-2025,Gujarat,Ahmedabad,380028,20,35
19-09-2025,Gujarat,Ahmedabad,380061,8,11
19-09-2025,Gujarat,Ahmedabad,382150,16,22
19-09-2025,Gujarat,Ahmedabad,382255,1,7
19-09-2025,Gujarat,Ahmedabad,382260,3,1
19-09-2025,Gujarat,Ahmedabad,382345,39,21
19-09-2025,Gujarat,Ahmedabad,382421,1,1
19-09-2025,Gujarat,Ahmedabad,382433,4,9
19-09-2025,Gujarat,Ahmedabad,382443,9,11
19-09-2025,Gujarat,Ahmedabad,382455,0,1
19-09-2025,Gujarat,Amreli,364530,2,4
19-09-2025,Gujarat,Amreli,365541,0,1
19-09-2025,Gujarat,Amreli,365565,10,11
19-09-2025,Gujarat,Anand,387240,5,10
19-09-2025,Gujarat,Anand,387345,2,2
19-09-2025,Gujarat,Anand,388130,1,10
19-09-2025,Gujarat,Anand,388150,2,1
19-09-2025,Gujarat,Anand,388220,21,15
19-09-2025,Gujarat,Anand,388307,1,7
19-09-2025,Gujarat,Anand,388320,3,5
19-09-2025,Gujarat,Anand,388325,5,7
19-09-2025,Gujarat,Anand,388365,5,1
19-09-2025,Gujarat,Anand,388410,1,2
19-09-2025,Gujarat,Anand,388421,0,3
19-09-2025,Gujarat,Anand,388460,2,7
19-09-2025,Gujarat,Anand,388510,3,7
19-09-2025,Gujarat,Anand,388580,9,2
