date,state,district,pincode,demo_age_5_17,demo_age_17_
19-09-2025,Maharashtra,Satara,415517,0,2
19-09-2025,Maharashtra,Satara,415518,0,2
19-09-2025,Maharashtra,Satara,415520,0,3
19-09-2025,Maharashtra,Satara,415539,1,5
19-09-2025,Maharashtra,Sindhudurg,416510,4,37
19-09-2025,Maharashtra,Sindhudurg,416514,0,2
19-09-2025,Maharashtra,Sindhudurg,416523,0,1
19-09-2025,Maharashtra,Sindhudurg,416604,0,1
19-09-2025,Maharashtra,Sindhudurg,416608,0,1
19-09-2025,Maharashtra,Sindhudurg,416611,0,2
19-09-2025,Maharashtra,Sindhudurg,416613,1,3
19-09-2025,Maharashtra,Sindhudurg,416803,0,2
19-09-2025,Maharashtra,Sindhudurg,416804,0,4
19-09-2025,Maharashtra,Solapur,413002,6,24
19-09-2025,Maharashtra,Solapur,413006,2,16
19-09-2025,Maharashtra,Solapur,413008,1,2
19-09-2025,Maharashtra,Solapur,413101,1,2
19-09-2025,Maharashtra,Solapur,413112,2,9
19-09-2025,Maharashtra,Solapur,413206,0,2
19-09-2025,Maharashtra,Solapur,413210,0,4
19-09-2025,Maharashtra,Solapur,413215,0,3
19-09-2025,Maharashtra,Solapur,413217,0,1
19-09-2025,Maharashtra,Solapur,413223,0,14
19-09-2025,Maharashtra,Solapur,413251,0,5
19-09-2025,Maharashtra,Solapur,413255,2,1
19-09-2025,Maharashtra,Solapur,413302,0,8
19-09-2025,Maharashtra,Solapur,413303,0,2
19-09-2025,Maharashtra,Solapur,413307,9,9
19-09-2025,Maharashtra,Solapur,413322,1,7
19-09-2025,Maharashtra,Solapur,413324,0,4
19-09-2025,Maharashtra,Solapur,413401,2,30
19-09-2025,Maharashtra,Solapur,413411,1,10
19-09-2025,Maharashtra,Thane,400601,3,35
19-09-2025,Maharashtra,Thane,400604,1,34
19-09-2025,Maharashtra,Thane,400612,29,113
19-09-2025,Maharashtra,Thane,400703,3,11
19-09-2025,Maharashtra,Thane,400710,1,2
19-09-2025,Maharashtra,Thane,401403,0,10
19-09-2025,Maharashtra,Thane,401404,0,15
19-09-2025,Maharashtra,Thane,401405,0,8
19-09-2025,Maharashtra,Thane,401503,0,5
19-09-2025,Maharashtra,Thane,401610,0,4
19-09-2025,Maharashtra,Thane,421001,0,10
19-09-2025,Maharashtra,Thane,421002,5,24
19-09-2025,Maharashtra,Thane,421003,3,5
19-09-2025,Maharashtra,Thane,421101,0,3
19-09-2025,Maharashtra,Thane,421102,0,13
19-09-2025,Maharashtra,Thane,421301,6,92
19-09-2025,Maharashtra,Thane,421308,1,12
19-09-2025,Maharashtra,Thane,421311,0,4
19-09-2025,Maharashtra,Thane,421312,0,9
19-09-2025,Maharashtra,Thane,421403,1,13
19-09-2025,Maharashtra,Thane,421502,1,2
19-09-2025,Maharashtra,Thane,421601,5,36
19-09-2025,Maharashtra,Thane,421602,1,4
19-09-2025,Maharashtra,Wardha,442101,1,13
19-09-2025,Maharashtra,Wardha,442105,1,2
19-09-2025,Maharashtra,Wardha,442305,0,2
19-09-2025,Maharashtra,Wardha,442306,0,3
19-09-2025,Maharashtra,Washim,444409,0,2
19-09-2025,Maharashtra,Washim,444503,2,28
19-09-2025,Maharashtra,Washim,444505,0,35
19-09-2025,Maharashtra,Washim *,444505,0,1
19-09-2025,Maharashtra,Washim *,444506,0,1
19-09-2025,Maharashtra,Yavatmal,445001,6,37
19-09-2025,Maharashtra,Yavatmal,445106,5,6
19-09-2025,Maharashtra,Yavatmal,445110,3,11
19-09-2025,Maharashtra,Yavatmal,445201,0,4
19-09-2025,Maharashtra,Yavatmal,445202,3,11
19-09-2025,Maharashtra,Yavatmal,445210,0,5
19-09-2025,Maharashtra,Yavatmal,445211,1,4
19-09-2025,Maharashtra,Yavatmal,445215,1,11
19-09-2025,Maharashtra,Yavatmal,445216,0,1
19-09-2025,Maharashtra,Yavatmal,445303,7,32
19-09-2025,Maharashtra,Yavatmal,445305,0,9
19-09-2025,Maharashtra,Yavatmal,445306,0,9
19-09-2025,Manipur,Chandel,795103,0,2
19-09-2025,Manipur,Churachandpur,795133,1,4
19-09-2025,Manipur,Churachandpur,795143,1,6
19-09-2025,Manipur,Imphal East,795114,7,10
19-09-2025,Manipur,Imphal East,795130,1,1
19-09-2025,Manipur,Imphal West,795009,4,6
19-09-2025,Manipur,Imphal West,795132,3,9
19-09-2025,Manipur,Imphal West,795134,1,10
19-09-2025,Manipur,Senapati,795106,1,7
19-09-2025,Manipur,Senapati,795118,1,7
19-09-2025,Manipur,Senapati,795126,1,0
19-09-2025,Manipur,Senapati,795129,0,11
