date,state,district,pincode,demo_age_5_17,demo_age_17_
01-11-2025,Puducherry,Karaikal,609603,0,4
01-11-2025,Puducherry,Karaikal,609605,0,3
01-11-2025,Puducherry,Karaikal,609606,0,5
01-11-2025,Puducherry,Puducherry,605011,2,6
01-11-2025,Puducherry,Puducherry,605111,0,1
01-11-2025,Puducherry,Puducherry,673310,1,5
01-11-2025,Puducherry,Yanam,533464,0,1
01-11-2025,Punjab,Amritsar,143001,22,217
01-11-2025,Punjab,Amritsar,143002,0,8
01-11-2025,Punjab,Amritsar,143022,0,16
01-11-2025,Punjab,Amritsar,143105,1,56
01-11-2025,Punjab,Amritsar,143107,0,11
01-11-2025,Punjab,Amritsar,143110,1,21
01-11-2025,Punjab,Amritsar,143114,0,9
01-11-2025,Punjab,Amritsar,143204,0,2
01-11-2025,Punjab,Amritsar,143603,0,22
01-11-2025,Punjab,Barnala,148025,1,4
01-11-2025,Punjab,Bathinda,151001,6,69
01-11-2025,Punjab,Bathinda,151101,4,16
01-11-2025,Punjab,Bathinda,151103,2,25
01-11-2025,Punjab,Bathinda,151105,0,4
01-11-2025,Punjab,Bathinda,151106,0,6
01-11-2025,Punjab,Bathinda,151301,3,22
01-11-2025,Punjab,Faridkot,151202,0,16
01-11-2025,Punjab,Faridkot,151204,3,36
01-11-2025,Punjab,Faridkot,151205,0,9
01-11-2025,Punjab,Fatehgarh Sahib,140407,0,1
01-11-2025,Punjab,Fatehgarh Sahib,140412,1,16
01-11-2025,Punjab,Fazilka,152121,0,7
01-11-2025,Punjab,Fazilka,152124,0,13
01-11-2025,Punjab,Ferozepur,142060,0,3
01-11-2025,Punjab,Ferozepur,152003,0,12
01-11-2025,Punjab,Ferozepur,152005,0,3
01-11-2025,Punjab,Firozpur,152117,0,2
01-11-2025,Punjab,Firozpur,152123,0,8
01-11-2025,Punjab,Firozpur,152132,0,5
01-11-2025,Punjab,Gurdaspur,143513,1,9
01-11-2025,Punjab,Gurdaspur,143514,0,7
01-11-2025,Punjab,Gurdaspur,143516,2,16
01-11-2025,Punjab,Gurdaspur,143518,0,35
01-11-2025,Punjab,Gurdaspur,143521,2,28
01-11-2025,Punjab,Gurdaspur,143527,0,17
01-11-2025,Punjab,Gurdaspur,143529,0,3
01-11-2025,Punjab,Gurdaspur,143534,0,4
01-11-2025,Punjab,Gurdaspur,143602,2,17
01-11-2025,Punjab,Gurdaspur,145029,0,1
01-11-2025,Punjab,Hoshiarpur,144210,0,8
01-11-2025,Punjab,Hoshiarpur,144213,0,5
01-11-2025,Punjab,Hoshiarpur,144529,0,4
01-11-2025,Punjab,Hoshiarpur,146022,0,6
01-11-2025,Punjab,Hoshiarpur,146101,0,3
01-11-2025,Punjab,Hoshiarpur,146103,0,3
01-11-2025,Punjab,Hoshiarpur,146104,0,2
01-11-2025,Punjab,Hoshiarpur,146110,0,1
01-11-2025,Punjab,Hoshiarpur,146114,0,1
01-11-2025,Punjab,Hoshiarpur,146116,2,1
01-11-2025,Punjab,Jalandhar,144005,1,8
01-11-2025,Punjab,Jalandhar,144009,0,16
01-11-2025,Punjab,Jalandhar,144012,0,6
01-11-2025,Punjab,Jalandhar,144014,0,4
01-11-2025,Punjab,Jalandhar,144021,1,16
01-11-2025,Punjab,Jalandhar,144022,3,16
01-11-2025,Punjab,Jalandhar,144023,1,5
01-11-2025,Punjab,Jalandhar,144032,2,0
01-11-2025,Punjab,Jalandhar,144039,0,19
01-11-2025,Punjab,Jalandhar,144103,0,2
01-11-2025,Punjab,Jalandhar,144402,0,1
01-11-2025,Punjab,Jalandhar,144410,1,34
01-11-2025,Punjab,Jalandhar,144416,0,6
01-11-2025,Punjab,Jalandhar,144502,0,2
01-11-2025,Punjab,Jalandhar,144625,0,1
01-11-2025,Punjab,Jalandhar,144626,0,1
01-11-2025,Punjab,Jalandhar,144630,0,6
01-11-2025,Punjab,Jalandhar,144632,0,4
01-11-2025,Punjab,Kapurthala,144403,0,2
01-11-2025,Punjab,Kapurthala,144408,0,1
01-11-2025,Punjab,Kapurthala,144602,0,2
01-11-2025,Punjab,Kapurthala,144622,0,5
01-11-2025,Punjab,Kapurthala,144623,0,3
01-11-2025,Punjab,Kapurthala,144629,0,1
